,dayInWeek,duration,startLat,startLog,endLat,endLog,distance,cost,id
0,4,3,38.257,-85.763,38.257,-85.763,0.04,2.26,273762945215443190130037778624055859355
1,4,0,38.235,-85.716,38.235,-85.716,0.04,0.01,312036547515301841955673792777061394354
2,4,10,38.26,-85.719,38.263,-85.734,0.04,7.51,292466290827516799716034328352141902647
3,4,0,38.252,-85.757,38.252,-85.757,0.04,0.01,323841050315100031389432664822303624265
4,4,1,38.22,-85.763,38.22,-85.763,0.04,0.76,319752965436960782703659526263951242101
5,4,2,38.22,-85.763,38.223,-85.766,0.04,1.51,227346147212037837578609632897937928604
6,4,1,38.253,-85.756,38.253,-85.756,0.04,0.76,283850601997723145002662823459264797786
7,4,5,38.225,-85.756,38.216,-85.757,0.04,3.76,247671112911413717123780055935240233311
8,4,32,38.27,-85.742,38.27,-85.742,0.04,24.01,279503807632147397678721681869799768191
9,4,1,38.248,-85.758,38.248,-85.758,0.04,0.76,255573402682645435778312967720741886516
10,4,2,38.205,-85.764,38.205,-85.764,0.04,1.51,241640280787673355441591870844901250649
11,4,2,38.251,-85.757,38.251,-85.757,0.04,1.51,283275840889400450648749971925504682284
12,4,2,38.214,-85.762,38.214,-85.762,0.04,1.51,261143616778808950637946619039729404636
13,4,1,38.225,-85.763,38.229,-85.761,0.04,0.76,244795657340696377323557016340151651966
14,4,5,38.257,-85.753,38.257,-85.753,0.04,3.76,309664090610995187316380179643028666703
15,4,2,38.252,-85.757,38.251,-85.758,0.04,1.51,230372621360208843750615610471666126674
16,4,4,38.238,-85.73,38.238,-85.729,0.04,3.01,264086396848711665210802412306704877965
17,4,3,38.256,-85.762,38.257,-85.761,0.04,2.26,274231199545509685928172848376743387088
18,4,3,38.257,-85.752,38.257,-85.752,0.04,2.26,252434681535774343893249292967134932734
19,4,19,38.258,-85.745,38.258,-85.745,0.04,14.26,265889704329796254259114570484737843686
20,4,0,38.215,-85.755,38.215,-85.756,0.04,0.01,283313601203244896078435238845605383086
21,4,2,38.253,-85.754,38.256,-85.754,0.04,1.51,247531354144601978329929154267733595872
22,4,1,38.231,-85.75,38.23,-85.745,0.04,0.76,321388491555305609184952203550520307273
23,4,3,38.242,-85.756,38.248,-85.759,0.04,2.26,228766844290379569387297672189935667186
24,4,1,38.257,-85.763,38.257,-85.763,0.04,0.76,325280930568882758468195341415969206579
25,4,2,38.252,-85.759,38.252,-85.759,0.04,1.51,265061923533897669549536644913249678209
26,4,1,38.258,-85.746,38.257,-85.745,0.04,0.76,312846051250641210142360818918143106792
27,4,3,38.255,-85.756,38.256,-85.76,0.04,2.26,307988748516500507661063098844773966297
28,4,0,38.258,-85.731,38.259,-85.731,0.04,0.01,286406196859176089355063188908350903710
29,4,2,38.22,-85.758,38.22,-85.758,0.04,1.51,296107161047141243306295025978986363271
30,4,3,38.254,-85.755,38.254,-85.758,0.04,2.26,273109518398361818631922510601145103764
31,4,4,38.277,-85.757,38.256,-85.757,0.04,3.01,306911985435900717523220493461602918925
32,4,1,38.253,-85.74,38.254,-85.74,0.04,0.76,299194586783208336424598031099768458223
33,4,1,38.255,-85.752,38.255,-85.753,0.04,0.76,284567729647109320764952720907579145032
34,4,2,38.245,-85.759,38.246,-85.757,0.04,1.51,315980181756935916536174493135012247001
35,4,2,38.252,-85.758,38.252,-85.759,0.04,1.51,307348270728843198839012342139787847553
36,4,1,38.241,-85.725,38.242,-85.725,0.04,0.76,296098918705763104003655604190071541319
37,4,1,38.255,-85.744,38.256,-85.744,0.04,0.76,267008489458002705828020684695554996510
38,4,1,38.258,-85.74,38.258,-85.74,0.04,0.76,317553486756856429005475147891844629603
39,4,3,38.22,-85.761,38.221,-85.763,0.04,2.26,240588126351447159910724107645165882465
40,4,5,38.214,-85.755,38.205,-85.759,0.04,3.76,248784344541883020618159350662030841749
41,4,3,38.213,-85.76,38.215,-85.759,0.04,2.26,254601065202683715776860400023733627809
42,4,3,38.248,-85.73,38.248,-85.73,0.04,2.26,331676204699533236181403457641786747183
43,4,4,38.216,-85.688,38.216,-85.689,0.04,3.01,253908110172981269634136422791597366568
44,4,16,38.261,-85.741,38.261,-85.741,0.04,12.01,289587022421760557397633375123918745129
45,4,2,38.215,-85.759,38.216,-85.758,0.04,1.51,306716880828310969871457274508220767714
