,dayInWeek,duration,startLat,startLog,endLat,endLog,distance,cost,id
0,3,3,38.257,-85.748,38.256,-85.746,0.04,2.26,102945971461196837027087483600017319780
1,3,1,38.243,-85.725,38.243,-85.725,0.04,0.76,97836437010621095524674905789657496540
2,3,2,38.192,-85.783,38.19,-85.783,0.04,1.51,61072805595550346378180988448927479511
3,3,4,38.179,-85.754,38.179,-85.754,0.04,3.01,90903897391823658310118546032778058205
4,3,3,38.179,-85.754,38.179,-85.754,0.04,2.26,69287439311935164604780288759379359219
5,3,2,38.25,-85.756,38.256,-85.757,0.04,1.51,36344692990855168471755029253228014003
6,3,1,38.22,-85.756,38.22,-85.756,0.04,0.76,51914306706553042448365572837159121411
7,3,3,38.251,-85.758,38.249,-85.762,0.04,2.26,52771602342893301622952701929409585886
8,3,1,38.258,-85.746,38.257,-85.745,0.04,0.76,9746006179665442708362733511881299851
9,3,2,38.257,-85.761,38.257,-85.76,0.04,1.51,106119955148126747429087133461078751829
10,3,0,38.22,-85.762,38.22,-85.761,0.04,0.01,37085946093114838775172122559746176147
11,3,1,38.256,-85.758,38.256,-85.758,0.04,0.76,98257154566142500031613199881818304680
12,3,3,38.257,-85.763,38.257,-85.763,0.04,2.26,45231207267983206559083374012918421347
13,3,2,38.253,-85.742,38.253,-85.743,0.04,1.51,89580267151529777485461603780115917977
14,3,2,38.235,-85.759,38.235,-85.76,0.04,1.51,43982523117146914293818005247941071797
15,3,3,38.253,-85.757,38.252,-85.754,0.04,2.26,46930380873215501700954755062811861568
16,3,0,38.227,-85.683,38.227,-85.683,0.04,0.01,68410090086128146017609577573053626883
17,3,3,38.257,-85.761,38.257,-85.76,0.04,2.26,93372292672259611952022013834672108051
18,3,8,38.179,-85.753,38.179,-85.754,0.04,6.01,65141017812554219072973957481920023360
19,3,2,38.239,-85.722,38.239,-85.722,0.04,1.51,66283551440886078567303032492294924533
20,3,1,38.255,-85.757,38.254,-85.757,0.04,0.76,23884283071126421152137731167078059924
21,3,7,38.219,-85.758,38.22,-85.758,0.04,5.26,67283784590037640411017494744367058113
22,3,5,38.262,-85.736,38.262,-85.736,0.04,3.76,4469290545300713245513356849429802228
23,3,16,38.215,-85.754,38.216,-85.754,0.04,12.01,16330372731271313706326156857990618540
24,3,2,38.225,-85.761,38.22,-85.761,0.04,1.51,47489666498869976418136359435838371295
25,3,3,38.179,-85.754,38.178,-85.753,0.04,2.26,10834508062302696371123541993469574247
26,3,1,38.179,-85.754,38.179,-85.754,0.04,0.76,38931313964418928428347630383936399025
27,3,1,38.241,-85.725,38.242,-85.726,0.04,0.76,57474269687005731104697165126763258860
