,dayInWeek,duration,startLat,startLog,endLat,endLog,distance,cost,id
0,1,0,38.257,-85.745,38.258,-85.745,0.04,0.01,220072564263942230157515108951488936433
1,1,1,38.238,-85.719,38.237,-85.719,0.04,0.76,189040842368182184653903417912015637710
2,1,2,38.232,-85.709,38.232,-85.709,0.04,1.51,159568688709975915503244853247250604852
3,1,3,38.255,-85.759,38.255,-85.758,0.04,2.26,180454258281459918881904451301848526810
4,1,5,38.252,-85.756,38.252,-85.755,0.04,3.76,139679837055078894548965138041531686979
5,1,2,38.256,-85.748,38.256,-85.748,0.04,1.51,212551727159633019792531772574724721281
6,1,3,38.257,-85.739,38.256,-85.739,0.04,2.26,119096974251603195532822399723094078601
7,1,2,38.256,-85.761,38.256,-85.762,0.04,1.51,222719334250746823291699636268712597375
8,1,2,38.219,-85.762,38.218,-85.762,0.04,1.51,142999648737837580044421622559064795563
9,1,12,38.262,-85.737,38.262,-85.738,0.04,9.01,210880708802039011429119194076981924753
10,1,2,38.256,-85.754,38.256,-85.754,0.04,1.51,224338992674901554917796353111999110140
11,1,1,38.257,-85.751,38.258,-85.751,0.04,0.76,117993973366790393073647519633508045767
12,1,1,38.214,-85.755,38.214,-85.755,0.04,0.76,145377757760420440972373342100601138172
13,1,15,38.232,-85.709,38.232,-85.71,0.04,11.26,137462546834638193340973831183343321876
14,1,2,38.253,-85.757,38.253,-85.757,0.04,1.51,127905958111666639690043407557456553077
15,1,1,38.255,-85.776,38.256,-85.777,0.04,0.76,169496222642957933485571545700974442859
16,1,2,38.221,-85.761,38.22,-85.761,0.04,1.51,186146436684913688246176637295172196743
17,1,3,38.256,-85.752,38.256,-85.754,0.04,2.26,174468584663302454942967066898288821749
18,1,2,38.261,-85.756,38.261,-85.759,0.04,1.51,158930921358465198620505048510583135461
19,1,12,38.239,-85.765,38.239,-85.765,0.04,9.01,179506431577424683859752050553357479319
20,1,5,38.254,-85.754,38.256,-85.753,0.04,3.76,171951717546310451523528573308871019475
21,1,3,38.23,-85.752,38.229,-85.752,0.04,2.26,203668208465269386083432703105915468446
22,1,2,38.253,-85.704,38.253,-85.704,0.04,1.51,127872616645151956901434548061777795915
23,1,21,38.253,-85.74,38.253,-85.74,0.04,15.76,149779474577175000881918769010337080094
24,1,2,38.239,-85.76,38.239,-85.76,0.04,1.51,220005185929257872448922932427557918492
25,1,2,38.247,-85.756,38.247,-85.756,0.04,1.51,116970955431474832871764570756325991332
26,1,2,38.255,-85.75,38.256,-85.752,0.04,1.51,172361151197473636694665657936904821172
27,1,0,38.259,-85.751,38.259,-85.751,0.04,0.01,137614049720910152625456170220868295063
28,1,1,38.227,-85.755,38.227,-85.755,0.04,0.76,186082465782243857082370853868963418826
29,1,1,38.259,-85.756,38.259,-85.756,0.04,0.76,202362896195087544274938224596891079925
30,1,3,38.251,-85.758,38.251,-85.758,0.04,2.26,115490146950704947511944548873446664394
31,1,0,38.215,-85.755,38.215,-85.755,0.04,0.01,214318008863862831427070340012351440721
32,1,1,38.253,-85.754,38.254,-85.754,0.04,0.76,132479347047455381860393865417439340836
33,1,1,38.216,-85.701,38.217,-85.701,0.04,0.76,202011763052254868779672640878851182816
34,1,1,38.242,-85.757,38.243,-85.756,0.04,0.76,170374828837991798385262939192797201048
35,1,2,38.257,-85.763,38.257,-85.763,0.04,1.51,146175221964257465078485348132125187290
36,1,46,38.217,-85.708,38.22,-85.709,0.04,34.51,131888124989685414184731005793906050114
37,1,1,38.225,-85.762,38.224,-85.762,0.04,0.76,175987036180210367811630918780267293266
38,1,2,38.255,-85.748,38.255,-85.748,0.04,1.51,213994845079615115797793688710876127565
39,1,3,38.217,-85.758,38.219,-85.757,0.04,2.26,112721470586848299319490624904771724189
40,1,2,38.261,-85.737,38.261,-85.737,0.04,1.51,129841401501840823137115114001830176557
41,1,5,38.253,-85.74,38.253,-85.739,0.041,3.76025,211265710340062358560234104689634309555
42,1,2,38.258,-85.765,38.258,-85.764,0.041,1.51025,177316981651509095219606264206787297986
43,1,2,38.254,-85.75,38.255,-85.75,0.041,1.51025,193490623798952881973412149371172114656
44,1,1,38.25,-85.756,38.251,-85.756,0.041,0.76025,178251200996326613261365433473516907106
45,1,4,38.218,-85.758,38.218,-85.758,0.042,3.0105,193232830045754469811831954738482688873
46,1,9,38.257,-85.762,38.257,-85.762,0.042,6.7605,116824131600856858698557809615183867538
47,1,3,38.256,-85.753,38.256,-85.754,0.044,2.261,148089207169613724888478697246950173448
48,1,3,38.257,-85.759,38.257,-85.76,0.044,2.261,134153640838316219485519077274399233693
49,1,3,38.253,-85.754,38.253,-85.754,0.046,2.2615,212237406043530568463175064617429091921
50,1,3,38.234,-85.721,38.238,-85.722,0.047,2.26175,199314009807483394075169965095673531322
51,1,3,38.257,-85.757,38.257,-85.756,0.047,2.26175,185602337271575277849719898047844663110
52,1,3,38.256,-85.748,38.256,-85.747,0.048,2.262,180276303224046682385405046676038585300
53,1,3,38.257,-85.757,38.256,-85.757,0.049,2.26225,128388619229809521521322307531718144899
54,1,5,38.256,-85.753,38.256,-85.753,0.05,3.7625,187455719943019031655466653075771756111
55,1,1,38.256,-85.764,38.257,-85.763,0.05,0.7625,168710621668292484835572796702680607319
56,1,16,38.237,-85.719,38.237,-85.719,0.05,12.0125,128759649260015062555975122711432730604
57,1,4,38.258,-85.745,38.258,-85.745,0.05,3.0125,171605592532511666485940054880227497568
58,1,3,38.221,-85.761,38.221,-85.761,0.05,2.2625,163064451280705441778165846249600218321
59,1,3,38.224,-85.769,38.223,-85.767,0.05,2.2625,129418372879857026719661648558727803430
60,1,1,38.247,-85.743,38.248,-85.743,0.05,0.7625,215538839312291974643700767086933050807
61,1,2,38.213,-85.751,38.213,-85.751,0.05,1.5125,181298112521100068064598022843702604297
62,1,3,38.253,-85.742,38.254,-85.742,0.05,2.2625,183614072163435374090868424956024110070
63,1,3,38.258,-85.76,38.257,-85.76,0.05,2.2625,158948766794722992137130682240552629289
64,1,7,38.24,-85.725,38.24,-85.725,0.05,5.2625,140960821308901799918748382367592043701
65,1,1,38.227,-85.708,38.227,-85.709,0.05,0.7625,217237312367356403142368722859967046582
66,1,2,38.258,-85.745,38.258,-85.745,0.05,1.5125,139289269591073848258774567522087446692
67,1,5,38.257,-85.762,38.257,-85.762,0.05,3.7625,200528605351507432168218509670721610986
68,1,62,38.253,-85.74,38.253,-85.74,0.05,46.5125,151614056239033944263654926101426629716
69,1,2,38.244,-85.728,38.244,-85.728,0.05,1.5125,191850849010112529832556544336462032409
70,1,3,38.218,-85.76,38.212,-85.757,0.05,2.2625,116243660952075535038761494415998602184
71,1,2,38.22,-85.758,38.221,-85.758,0.05,1.5125,176643659741982030329811048825507971629
72,1,1,38.235,-85.714,38.234,-85.714,0.05,0.7625,200795500060965928377687734652621731127
73,1,1,38.254,-85.746,38.254,-85.746,0.05,0.7625,206378289689206793108705071674768393879
74,1,1,38.221,-85.763,38.221,-85.763,0.05,0.7625,143704395277201917132156603729767018176
75,1,2,38.238,-85.719,38.237,-85.719,0.05,1.5125,149748157098477056083161557520262616233
76,1,3,38.254,-85.758,38.257,-85.757,0.05,2.2625,173755327413049619494494067081749091251
77,1,2,38.204,-85.763,38.204,-85.763,0.05,1.5125,119794982059031074980393914375285531392
78,1,4,38.257,-85.758,38.255,-85.758,0.05,3.0125,193818063334694702816661785641676681698
79,1,1,38.251,-85.757,38.251,-85.757,0.05,0.7625,140624063780022818013808730430890400488
80,1,2,38.253,-85.754,38.253,-85.754,0.05,1.5125,213393739735119221160219654945979855244
81,1,1,38.257,-85.747,38.257,-85.747,0.05,0.7625,151066703656984672739413370371408709049
82,1,4,38.248,-85.757,38.247,-85.757,0.05,3.0125,208995387476508000692187742814675868483
83,1,34,38.239,-85.765,38.239,-85.765,0.05,25.5125,186955739815790776211920126981767253886
84,1,2,38.253,-85.757,38.253,-85.757,0.05,1.5125,221902955235274318787576458662435326320
85,1,1,38.255,-85.755,38.255,-85.755,0.05,0.7625,186168021677518717956529125459861879569
86,1,2,38.255,-85.752,38.255,-85.752,0.05,1.5125,119702139377388721043528622559343935230
87,1,3,38.257,-85.764,38.257,-85.763,0.05,2.2625,204995843221062966172588870380315745603
