,dayInWeek,duration,startLat,startLog,endLat,endLog,distance,cost,id
0,4,3,38.217,-85.762,38.218,-85.763,0.04,2.26,72735365277881526231625016410844830202
1,4,1,38.231,-85.706,38.231,-85.705,0.04,0.76,17903077191424032487555073978926196257
2,4,3,38.206,-85.758,38.206,-85.758,0.04,2.26,83850481556305643136287490785479622278
3,4,0,38.253,-85.757,38.253,-85.757,0.04,0.01,109578449020517408223412623838077087324
4,4,6,38.204,-85.767,38.205,-85.767,0.04,4.51,6492205655235940056462385328822809348
5,4,54,38.253,-85.751,38.253,-85.752,0.04,40.51,25472199079636360787065877290656892061
6,4,4,38.255,-85.741,38.255,-85.741,0.04,3.01,41579806344535656552176557906825874882
7,4,4,38.254,-85.757,38.257,-85.755,0.04,3.01,24873727234589007788415626529361411630
8,4,3,38.216,-85.758,38.216,-85.758,0.04,2.26,57051607538268988567245446717126805079
9,4,1,38.255,-85.756,38.255,-85.757,0.04,0.76,529678171352467951884961479492706767
10,4,6,38.255,-85.744,38.256,-85.743,0.04,4.51,1367534894415525074459017092451334128
11,4,2,38.214,-85.751,38.214,-85.755,0.04,1.51,15308571935518477655530005360424040484
12,4,1,38.219,-85.759,38.218,-85.759,0.04,0.76,40185053141950120823037797237567535739
13,4,2,38.219,-85.762,38.22,-85.763,0.04,1.51,35446962126730976947615585505241009803
14,4,1,38.254,-85.749,38.253,-85.748,0.04,0.76,87670517613241688986209177326755663939
15,4,1,38.221,-85.762,38.221,-85.763,0.04,0.76,21274222969134406228355750021772108740
16,4,5,38.205,-85.764,38.205,-85.764,0.04,3.76,69735757762491481789312608256413173818
17,4,2,38.222,-85.765,38.22,-85.763,0.04,1.51,76891667411779316605327935676893597219
18,4,2,38.221,-85.763,38.222,-85.765,0.04,1.51,21627614626932988707513180325166051819
19,4,3,38.218,-85.756,38.219,-85.757,0.04,2.26,27242254661983750130537371131772118604
20,4,1,38.256,-85.751,38.256,-85.752,0.04,0.76,75872965227309298465884638801741717740
21,4,3,38.215,-85.756,38.217,-85.762,0.04,2.26,560828955718010764030332849790560216
22,4,2,38.227,-85.758,38.227,-85.758,0.04,1.51,36008289159700144229379106776406946410
23,4,4,38.222,-85.762,38.226,-85.762,0.04,3.01,66198752119548651882760731109091914224
24,4,2,38.218,-85.763,38.222,-85.765,0.04,1.51,34940421302239435618978880343943694018
25,4,3,38.218,-85.763,38.219,-85.761,0.04,2.26,4316274780502516526169162286225859664
26,4,2,38.218,-85.759,38.218,-85.758,0.04,1.51,95861897078714437725650654231358121299
27,4,2,38.215,-85.755,38.216,-85.757,0.04,1.51,11974698240737917985615256198750142231
28,4,5,38.253,-85.755,38.253,-85.755,0.04,3.76,2810073278986890217380608450198034796
29,4,2,38.257,-85.75,38.257,-85.75,0.04,1.51,48189434813827837467852202859615903524
30,4,13,38.221,-85.763,38.219,-85.763,0.04,9.76,78519050197354101786494616436123001320
31,4,1,38.265,-85.729,38.266,-85.728,0.04,0.76,28372215265963794949682471489133046468
32,4,2,38.219,-85.759,38.219,-85.758,0.04,1.51,88425841300256831657124112195971649703
33,4,11,38.257,-85.754,38.257,-85.754,0.04,8.26,89936527502207610180038058789680619233
34,4,1,38.252,-85.757,38.251,-85.757,0.04,0.76,99350578633460137030926572107534989290
35,4,2,38.255,-85.733,38.255,-85.733,0.04,1.51,64691168389162202284133128035328145822
36,4,3,38.22,-85.759,38.219,-85.761,0.04,2.26,30493797167001772504695483147101998924
37,4,4,38.256,-85.758,38.256,-85.761,0.04,3.01,24512811870188077577144739473521602724
38,4,3,38.218,-85.763,38.218,-85.764,0.04,2.26,89951515163751899303534899246726716552
39,4,2,38.253,-85.757,38.253,-85.757,0.04,1.51,108189513758830097592918406986031018445
40,4,2,38.217,-85.759,38.217,-85.76,0.04,1.51,55181622377093802402088203995910895242
41,4,2,38.219,-85.763,38.219,-85.761,0.04,1.51,82306585708531433327297061056434293649
42,4,1,38.207,-85.764,38.207,-85.763,0.04,0.76,49530275013738665187233302978156072715
43,4,1,38.216,-85.762,38.215,-85.762,0.04,0.76,91279049530744366974987517164451923560
44,4,3,38.223,-85.763,38.221,-85.763,0.04,2.26,31053126290479441566327834771235541586
45,4,3,38.219,-85.763,38.218,-85.761,0.04,2.26,111776745822845352310793381861133254750
46,4,2,38.217,-85.762,38.217,-85.762,0.04,1.51,31912531288301970170129822446984476969
47,4,1,38.212,-85.764,38.212,-85.764,0.04,0.76,44599610222556165744355917428552110919
48,4,3,38.228,-85.758,38.227,-85.758,0.04,2.26,16205965118736288962828743945897632815
49,4,1,38.258,-85.745,38.258,-85.745,0.04,0.76,1524407151774817142617102387627353851
50,4,2,38.217,-85.759,38.216,-85.758,0.04,1.51,15994339431091431536018776078983767761
51,4,2,38.258,-85.745,38.257,-85.745,0.04,1.51,82958920528766836797267067229325787027
52,4,2,38.254,-85.75,38.254,-85.75,0.041,1.51025,109147902160510856595688270726391201550
53,4,3,38.256,-85.755,38.257,-85.756,0.041,2.26025,106309426119513808479147331755375465025
54,4,3,38.256,-85.744,38.256,-85.745,0.042,2.2605,23434451136578846199451102465557975570
55,4,4,38.24,-85.709,38.241,-85.71,0.042,3.0105,5175107900702679922370086251734394751
56,4,2,38.253,-85.751,38.252,-85.75,0.042,1.5105,41891928526356547441464903693127337341
57,4,3,38.256,-85.75,38.257,-85.75,0.043,2.26075,68490237452851803716580848672389049141
58,4,9,38.217,-85.757,38.217,-85.758,0.049,6.76225,79174334386898880211565609663287166461
59,4,1,38.258,-85.756,38.258,-85.756,0.05,0.7625,3241122614445211764844375541998196950
60,4,3,38.215,-85.759,38.215,-85.758,0.05,2.2625,72684295330559409953641770214650940615
61,4,6,38.248,-85.757,38.247,-85.757,0.05,4.5125,48928639059520612690632828551949501033
62,4,2,38.218,-85.763,38.214,-85.76,0.05,1.5125,96197489070168663589757628782276433714
63,4,4,38.225,-85.769,38.225,-85.768,0.05,3.0125,24275883597646542867700658839190992459
64,4,3,38.226,-85.76,38.223,-85.761,0.05,2.2625,93887995988167083766107468877082731477
65,4,3,38.257,-85.761,38.257,-85.761,0.05,2.2625,98255896968693789452346039842383335318
66,4,1,38.22,-85.755,38.22,-85.754,0.05,0.7625,74865347360821172802329390316528153787
67,4,2,38.215,-85.758,38.217,-85.758,0.05,1.5125,110178711196669624523382065767479687442
68,4,2,38.215,-85.758,38.218,-85.757,0.05,1.5125,51111799682650251613420448245545530226
69,4,3,38.211,-85.758,38.217,-85.757,0.05,2.2625,6157092503096798169377759488565157265
70,4,1,38.22,-85.758,38.219,-85.759,0.05,0.7625,47811759450331569584472495152358367169
71,4,4,38.22,-85.755,38.215,-85.751,0.05,3.0125,20379893253157681032304708879112572741
72,4,2,38.257,-85.762,38.257,-85.762,0.05,1.5125,22352153738029024426983729897314936254
73,4,2,38.248,-85.746,38.249,-85.745,0.05,1.5125,17505426136045937144072502047402380636
74,4,3,38.217,-85.762,38.219,-85.763,0.05,2.2625,86968374365509616576747925849582621186
75,4,1,38.256,-85.758,38.256,-85.758,0.05,0.7625,74575689162484699682973137619475549094
76,4,7,38.235,-85.763,38.235,-85.763,0.05,5.2625,57071027157237619179375689663898891686
77,4,2,38.258,-85.744,38.258,-85.744,0.05,1.5125,93912550926914162786177685851475062515
78,4,1,38.272,-85.736,38.27,-85.739,0.05,0.7625,75293248620018465151785047764041667299
79,4,6,38.23,-85.703,38.23,-85.703,0.05,4.5125,75650914779690534536299355635066717843
80,4,0,38.257,-85.746,38.258,-85.745,0.05,0.0125,32970698804377427212998608016667073869
81,4,2,38.219,-85.759,38.218,-85.759,0.05,1.5125,68305127591971012858473425099510663712
82,4,3,38.231,-85.707,38.231,-85.707,0.05,2.2625,105898665559918138559712714226987603765
83,4,4,38.25,-85.758,38.25,-85.757,0.05,3.0125,5763860213027704043868991311826009857
84,4,2,38.214,-85.751,38.213,-85.751,0.05,1.5125,54280043979450650040869184076278276098
85,4,5,38.23,-85.703,38.23,-85.703,0.05,3.7625,84304023892513340794475914230230824383
86,4,1,38.255,-85.745,38.255,-85.744,0.05,0.7625,81446957232933628304323478831994566374
87,4,2,38.232,-85.709,38.232,-85.709,0.05,1.5125,95551843673420699835647694326800452029
88,4,1,38.256,-85.751,38.256,-85.751,0.05,0.7625,35051990528644750666762404684880855096
89,4,3,38.224,-85.69,38.222,-85.697,0.05,2.2625,99155681655540876844474321675618350604
90,4,2,38.254,-85.746,38.254,-85.745,0.05,1.5125,77759949387463285947809036649918846171
91,4,2,38.213,-85.761,38.213,-85.76,0.05,1.5125,90061692635551853482705424927156042963
92,4,3,38.253,-85.704,38.253,-85.704,0.05,2.2625,6181729489640902171007054400786667712
93,4,2,38.221,-85.763,38.221,-85.763,0.05,1.5125,21705154649521398514797852637260951332
94,4,1,38.219,-85.762,38.219,-85.761,0.05,0.7625,47963817639906139237576394522596549499
95,4,2,38.255,-85.74,38.255,-85.74,0.05,1.5125,72451087412528501803151007886636788894
96,4,3,38.251,-85.757,38.253,-85.755,0.05,2.2625,64727619760448562149652358209929610516
97,4,9,38.252,-85.754,38.251,-85.754,0.05,6.7625,60689218627634439301569418709562520171
98,4,4,38.252,-85.754,38.256,-85.753,0.05,3.0125,11035067828629895948654867651541131108
99,4,28,38.253,-85.74,38.253,-85.741,0.05,21.0125,82057514997740516126924033017778234793
100,4,3,38.257,-85.758,38.257,-85.755,0.05,2.2625,86781257941005576082897788533119228743
101,4,1,38.245,-85.754,38.246,-85.754,0.05,0.7625,32934387670757718615709661247267744380
102,4,1,38.242,-85.725,38.242,-85.725,0.05,0.7625,105879920040253241403123774632441918167
103,4,3,38.257,-85.763,38.257,-85.763,0.05,2.2625,73429793014514643358334975347852471572
104,4,2,38.214,-85.751,38.214,-85.752,0.05,1.5125,92031434505545902312484098800263443762
105,4,3,38.218,-85.763,38.219,-85.757,0.05,2.2625,96022507141711402317417220589024840090
106,4,2,38.251,-85.74,38.251,-85.742,0.05,1.5125,45087837418581186726402672169929416710
107,4,1,38.233,-85.757,38.233,-85.756,0.05,0.7625,12226599940648343883702125783359863061
108,4,1,38.256,-85.753,38.256,-85.754,0.05,0.7625,13148166368398846170892038877593098352
109,4,3,38.227,-85.763,38.227,-85.759,0.05,2.2625,104694790495839354444190550916879171834
110,4,3,38.22,-85.758,38.22,-85.758,0.05,2.2625,50242711256612059212327490610242732817
111,4,1,38.251,-85.756,38.25,-85.756,0.05,0.7625,105379469064418210193903314478000686919
112,4,3,38.24,-85.724,38.24,-85.724,0.05,2.2625,108531023876317114014803862877604094558
113,4,2,38.215,-85.758,38.219,-85.76,0.05,1.5125,25567240606423809295969837102453821976
114,4,9,38.217,-85.755,38.203,-85.759,0.05,6.7625,107456638354349868439461089539838078342
115,4,2,38.207,-85.757,38.205,-85.758,0.05,1.5125,20295443490822910405536789156731653519
116,4,2,38.218,-85.76,38.22,-85.761,0.05,1.5125,56547788814716330423642333280409402568
117,4,1,38.236,-85.717,38.236,-85.716,0.05,0.7625,14940327783626615135920361208770835431
118,4,3,38.257,-85.745,38.258,-85.745,0.05,2.2625,89242397685262408252442254981643191118
119,4,3,38.218,-85.76,38.222,-85.761,0.05,2.2625,18323836172072566593925208774778057485
120,4,4,38.225,-85.768,38.223,-85.763,0.05,3.0125,78286606760690896890089087364112708284
