,dayInWeek,duration,startLat,startLog,endLat,endLog,distance,cost,id
0,6,2,38.225,-85.762,38.224,-85.762,0.04,1.51,143233276892917959734936674208009901849
1,6,2,38.225,-85.735,38.227,-85.736,0.04,1.51,141468981987539634206752557606334830848
2,6,50,38.255,-85.743,38.258,-85.75,0.04,37.51,126946141883419198247051463413511058015
3,6,1,38.258,-85.745,38.258,-85.746,0.04,0.76,116714988118346584925527426607533674727
4,6,4,38.254,-85.747,38.255,-85.745,0.04,3.01,221790421290807577017318596519456736008
5,6,4,38.257,-85.756,38.257,-85.756,0.04,3.01,212266166748344009021383426625091167762
6,6,2,38.251,-85.76,38.251,-85.76,0.04,1.51,143106125786023150014440720397499595266
7,6,13,38.258,-85.745,38.257,-85.745,0.04,9.76,127052265352165739060305707769420583247
8,6,6,38.253,-85.772,38.253,-85.772,0.04,4.51,204639954036627848105126715137485869180
9,6,3,38.205,-85.757,38.205,-85.758,0.04,2.26,217110718573478921786166277186942696654
10,6,1,38.233,-85.763,38.233,-85.762,0.04,0.76,186001748585571462112458713196412083442
11,6,3,38.218,-85.758,38.216,-85.758,0.04,2.26,189245814994210840977460363013122459166
12,6,3,38.257,-85.757,38.255,-85.757,0.04,2.26,116145072203935855009895853227060253086
13,6,2,38.258,-85.745,38.258,-85.745,0.04,1.51,178560020378262478489213287339785276866
14,6,1,38.204,-85.759,38.203,-85.759,0.04,0.76,159580126095801268946752129796563744688
15,6,1,38.22,-85.764,38.22,-85.764,0.04,0.76,218279164591511111151881461456741948070
16,6,2,38.219,-85.762,38.217,-85.758,0.04,1.51,174548958908133651932343321313848211662
17,6,3,38.206,-85.764,38.204,-85.76,0.04,2.26,192111263428161000654847171616554770972
18,6,1,38.212,-85.752,38.213,-85.752,0.04,0.76,120788292998349466344679936142684218751
19,6,3,38.256,-85.749,38.256,-85.749,0.04,2.26,211804442730602323349823901918325742007
20,6,6,38.211,-85.761,38.208,-85.756,0.04,4.51,218115650051494761207755735380892071459
21,6,1,38.214,-85.764,38.214,-85.764,0.04,0.76,221460994149507762037655785222715047976
22,6,5,38.258,-85.757,38.259,-85.758,0.04,3.76,202879548613625214775190455872362195068
23,6,2,38.216,-85.758,38.216,-85.758,0.04,1.51,131041060750414354310385745917375049228
24,6,25,38.253,-85.674,38.257,-85.735,0.04,18.76,143938532102868369433565746346339218564
25,6,1,38.254,-85.747,38.254,-85.748,0.04,0.76,114249066090622288076402844443039539295
26,6,1,38.219,-85.763,38.22,-85.763,0.04,0.76,218651299522733575035306908878946398915
27,6,7,38.247,-85.73,38.242,-85.726,0.04,5.26,191255096450780817470543355588176798589
28,6,1,38.214,-85.752,38.214,-85.752,0.04,0.76,223220119332649902416097532740031716172
